,pc1,label
0,-66.18657386281988,1.0
1,-45.15003710919841,0.0
2,3.9061846894869015,0.0
3,-11.157088622850264,0.0
4,254.8095486500429,0.0
5,-48.20038235692479,0.0
6,-62.18692843623497,1.0
7,88.85621237596624,0.0
8,-37.15238676550065,0.0
9,-64.2039206320765,1.0
10,147.9189293742662,1.0
11,6.8183730585253866,0.0
12,-35.17234958248153,1.0
13,9.829692384559536,0.0
14,-63.21693281998663,0.0
15,-65.19784039923503,0.0
16,-58.216070721212844,1.0
17,96.85048632799116,1.0
18,13231.743638752037,0.0
19,-66.19342008941153,0.0
20,44.87824263758587,1.0
21,-64.21085381109471,0.0
22,-65.210691674997,0.0
23,-66.15647649304242,0.0
24,-40.22722830033302,1.0
25,-50.213359203327876,1.0
26,96.80811236420911,0.0
27,-42.133622880876196,1.0
28,-66.22867668662923,1.0
29,-54.15555165262,1.0
30,-66.21866756701564,1.0
31,-66.22674045542048,1.0
32,-54.19982217999167,0.0
33,56.86498081998021,0.0
34,-65.20427660581419,0.0
35,-50.223290129413904,1.0
36,-37.1523867550371,0.0
37,47.825961383907504,0.0
38,-66.20807742443972,0.0
39,-40.227228635431935,1.0
40,499.79156770819793,0.0
41,-26.202669674209638,0.0
42,-66.20250336386684,0.0
43,493.80382574151287,0.0
44,-50.214459113438465,1.0
45,95.80812212528504,0.0
46,-51.21541756385192,1.0
47,47.83602824771055,0.0
48,95.80812115736289,0.0
49,-12.180924365459397,1.0
50,26.83629474901843,0.0
51,-61.12840908313442,1.0
52,-66.21637112743797,0.0
53,-48.21379871322307,0.0
54,-63.22783021069722,1.0
55,-63.21375425124707,0.0
56,-51.2214892477744,1.0
57,-54.209754368473085,0.0
58,13.806932051254282,0.0
59,-1.1701679469899715,1.0
60,-65.21569184703381,1.0
61,-51.204092161694184,1.0
62,-11.155467550281983,0.0
63,-66.20952965066444,0.0
64,-50.207331707563675,1.0
65,-51.16530527118338,1.0
66,-55.18377138401613,0.0
67,-66.21213954745899,0.0
68,-65.16783100319552,0.0
69,-48.22266604974696,1.0
70,35.827011123428015,0.0
71,-42.18254085930918,1.0
72,-12.14520769459641,0.0
73,336.93640010879164,0.0
74,-51.21132354753467,1.0
75,-66.2070730260839,0.0
76,-48.2226657539493,1.0
77,114.91344232466939,1.0
78,-39.150591344032954,0.0
79,-32.17054846679187,0.0
80,-63.20970863033934,0.0
81,-66.20941191402314,1.0
82,-66.20712506256336,0.0
83,-62.20391926376838,1.0
84,-65.20375763589766,0.0
85,-66.15230202757417,0.0
86,-49.112453711284004,0.0
87,52.816763908002706,0.0
88,-50.23170844906685,1.0
89,-22.167069271699756,0.0
90,-66.21285835160344,0.0
91,-65.15842226264898,0.0
92,-62.180920689309055,1.0
93,-45.156578465923054,1.0
94,-37.15238812371956,0.0
95,-51.222362728706464,1.0
96,47.83501961516877,0.0
97,-37.152386109601515,0.0
98,-50.23286711588065,1.0
99,-8.053693974551564,0.0
100,112.8071548933421,0.0
101,-59.15545370140565,1.0
102,-58.197004040957026,0.0
103,-63.21173472176265,0.0
104,50.869038652794806,1.0
105,-65.21072635317586,0.0
106,125.80066127889909,0.0
107,-66.2039235968032,1.0
108,-66.23391016053104,1.0
109,-66.15647277591816,0.0
110,-65.18699824657764,1.0
111,55.81142830270985,0.0
112,-46.124197565261426,0.0
113,-66.20405727096362,0.0
114,497.7951519237752,0.0
115,-50.21721125485968,1.0
116,134.82505612844417,1.0
117,-66.21098458902014,1.0
118,53.83582224113012,0.0
119,62.85845775895324,0.0
120,-50.23277507031766,1.0
121,-63.20971102434693,0.0
122,-63.2075512143787,0.0
123,-17.186939315696634,1.0
124,20.829207396417626,1.0
125,-64.22721445726418,1.0
126,-61.191635813641945,1.0
127,-48.213323430521456,1.0
128,56.80475900176562,0.0
129,-65.20347282646507,0.0
130,-66.2121526299494,1.0
131,-48.214333052498155,1.0
132,-47.209135904916046,1.0
133,-66.20728260640463,0.0
134,-51.215364956001366,1.0
135,-66.21546673866025,1.0
136,-32.170544305885485,0.0
137,-53.21126504928154,1.0
138,-50.20916349391595,1.0
139,1248.8127786317048,0.0
140,-66.21049170528049,1.0
141,34.86228434821787,0.0
142,-65.2076642340602,0.0
143,-5.84510039915498,1.0
144,-60.21041331110945,1.0
145,-35.128301373419646,0.0
146,20.826375276956803,0.0
147,-62.06803273027752,0.0
148,-64.22721385387258,1.0
149,-61.20812373998946,1.0
150,-50.22656192154998,1.0
151,-65.21376164251832,0.0
152,-63.21292654508423,0.0
153,-1.152018534575747,1.0
154,8.913931636192393,0.0
155,-66.21136365828046,0.0
156,-51.191444111197846,0.0
157,-51.21638069069407,1.0
158,1248.8097392106795,0.0
159,-66.20027114143384,1.0
160,-66.15646037631426,0.0
161,-66.20658685487487,1.0
162,277.85275915146275,0.0
163,-1.1987328454858732,1.0
164,-62.180924726264955,1.0
165,-63.22099546451449,0.0
166,35.169129213688485,0.0
167,-64.23394028370798,1.0
168,56.86497779386644,0.0
169,277.85275915146275,0.0
170,-45.20587614520623,0.0
171,-37.1523819825652,0.0
172,-64.22406257243638,0.0
173,308.82273607045636,0.0
174,-65.20984878434811,0.0
175,-18.17558765493858,0.0
176,43.82389820103415,0.0
177,-65.21088618502439,0.0
178,-66.21059194574534,1.0
179,25.789338755001705,1.0
180,-50.210274901484944,1.0
181,-44.171705534420155,1.0
182,-66.21852874389106,1.0
183,-63.201741198920985,1.0
184,-27.210969068367955,1.0
185,-48.2094093419098,1.0
186,-53.215404639934704,1.0
187,-62.23017666424436,1.0
188,-40.22722958254017,1.0
189,-66.14270331914543,0.0
190,-50.21749792489099,1.0
191,-54.17942474643154,1.0
192,-66.20814284109431,0.0
193,-66.1984480327744,0.0
194,-63.211721492987614,0.0
195,-59.18636460607387,1.0
196,-66.2049360258022,0.0
197,-66.2293816457269,1.0
198,10.814433331984924,0.0
199,-1.134643765477844,0.0
200,-64.20097249875433,1.0
201,-61.19978662057833,1.0
202,44.877231418412315,1.0
203,-66.21089923052814,0.0
204,-63.21352162058198,1.0
205,-65.21181218953002,1.0
206,-66.1984098767816,1.0
207,-66.20236145650559,1.0
208,-37.15238108572997,0.0
209,-66.2025040024637,0.0
210,-53.21531415897615,1.0
211,-66.20814465790363,0.0
212,-66.20730674548513,1.0
213,-66.19294600954674,0.0
214,119.82812731809702,1.0
215,-61.17686187474675,1.0
216,-66.2134240675182,1.0
217,-37.15238550474328,0.0
218,-45.150037377040235,0.0
219,-48.22026662314075,1.0
220,-66.15645600051589,0.0
221,149.80889906997717,0.0
